I	read	2107

Q	NTCIR12-MathWiki-1
E	[-[N!0.026838601[V!…]]]
R	315355	28	[-[N!0.026838601[V!…]]]	1
I	qt	0.123
I	post	2
I	postsk	0
I	expr	1
I	exprsk	0
I	doc	1

Q	NTCIR12-MathWiki-2
E	[V!𝔓]
I	qt	0.027
I	post	0
I	postsk	0
I	expr	0
I	exprsk	0
I	doc	0

Q	NTCIR12-MathWiki-3
E	[V!N[=[⌊[N!0.5[-[V!log[M!()1x1[⌋],w[F!,o[T!Frequency of this item],u[T!Frequency of most common item]]],b[N!2]]]]]]]
R	316535	1	[V!N[=[⌊[N!0.5[-[V!log[M!()1x1[⌋],w[F!,o[T!Frequency of this item],u[T!Frequency of most common item]]],b[N!2]]]]]]]	1
R	319595	1	[V!ℓ[=[⌊[V!log[M!()1x1[⌋],w[depth[M!()1x1,w[V!v]]]],b[N!2]]]]]	0.4
R	300640	4	[⌊[V!log[M!()1x1[⌋],w[V!n]],b[N!2]]]	0.375
R	310235	3	[V!N[=[V!log[M!()1x1[.],w[V!M]],b[N!2]]]]	0.352941
R	309979	1	[N!2[⌊[V!log[M!()1x1[⌋[+[N!1]]],w[V!x]],b[N!2]]]]	0.315789
R	292186	80	[⌊[V!log[M!()1x1[⌋[=[-[N!1]]]],w[N!0]],b[N!2]]]	0.315789
R	310495	0	[T!ID[=[V!log[M!()1x1,w[F!,o[N!2[V!D]],u[V!W]]],b[N!2]]]]	0.315789
R	306654	0	[V!octaves[=[V!log[M!()1x1,w[F!,o[V!f,b[N!2]],u[V!f,b[N!1]]]],b[N!2]]]]	0.3
R	306654	2	[T!number of octaves[=[V!log[M!()1x1[=[N!1.7]],w[F!,o[N!13],u[N!4]]],b[N!2]]]]	0.3
R	301991	15	[N!2[+[V!log[M!()1x1[=[N!1]],w[F!,o[N!1],u[N!2]]],b[N!2]]]]	0.3
R	314518	178	[-[V!log[M!()1x1,w[F!,o[N!1[+[N!2[V!d]]]],u[N!365]]],b[N!10]]]	0.3
R	301183	13	[⌊[R![V!log[M!()1x1[⌋],w[V!n]],b[N!2]],w[V!φ[M!()1x1,w[V!r]]]]]	0.3
R	292155	73	[V!log[M!()1x1[=[-[V!log[M!()1x1,w[F!,o[N!1],u[V!x]]]]]],w[V!x]]]	0.3
R	292155	75	[V!log[M!()1x1[=[-[V!log[M!()1x1,w[F!,o[N!1],u[V!x]]]]]],w[V!x]]]	0.3
R	310141	28	[V!log[M!()1x1[=[-[N!1[&comma;]]]],w[F!,o[N!1],u[N!2]]],b[N!2]]	0.3
R	293259	4	[length[M!()1x1[=[-[V!log[M!()1x1,w[V!P[M!()1x1,w[V!E]]]],b[N!2]]]],w[V!E]]]	0.285714
R	301991	41	[N!2[-[V!log[M!()1x1[=[F!,o[N!3],u[N!2]]],w[R!,w[N!2]]],b[N!2]]]]	0.285714
R	310495	5	[V!I[V!D[=[V!log[M!()1x1,w[F![+[N!1]],o[V!D],u[V!W]]],b[N!2]]]]]	0.285714
R	300689	85	[V!length[M!()1x1[≈[-[V!log[M!()1x1,w[V!p,b[V!k]]],b[N!2]]]],w[V!c,b[V!k]]]]	0.285714
R	291928	23	[V!log[M!()1x1,w[V!M]],b[N!2]]	0.285714
R	296115	0	[V!log[M!()1x1,w[V!c]],b[N!2]]	0.285714
R	304985	26	[V!log[M!()1x1,w[V!n]],b[N!2]]	0.285714
R	299437	16	[V!log[M!()1x1,w[V!n]],b[N!2]]	0.285714
R	305657	18	[V!log[M!()1x1,w[V!n]],b[N!2]]	0.285714
R	305657	19	[V!log[M!()1x1,w[V!n]],b[N!2]]	0.285714
R	292206	138	[V!log[M!()1x1,w[V!n]],b[N!2]]	0.285714
R	311622	27	[V!log[M!()1x1,w[V!x]],b[N!2]]	0.285714
R	301991	113	[V!log[M!()1x1,w[N!5]],b[N!2]]	0.285714
R	301991	51	[V!log[M!()1x1,w[N!3]],b[N!2]]	0.285714
R	301991	52	[V!log[M!()1x1,w[N!3]],b[N!2]]	0.285714
R	301991	53	[V!log[M!()1x1,w[N!3]],b[N!2]]	0.285714
R	301991	54	[V!log[M!()1x1,w[N!3]],b[N!2]]	0.285714
R	311268	37	[V!log[M!()1x1,w[N!3]],b[N!2]]	0.285714
R	305345	95	[-[V!log[M!()1x1,w[V!x]]]]	0.285714
R	302902	263	[V!log[M!()1x1,w[N!1.0]],b[N!2]]	0.285714
R	313014	99	[-[V!log[M!()1x1,w[V!t]]]]	0.285714
R	293313	4	[V!A[=[-[V!log[M!()1x1,w[F!,o[V!V,b[V!d[V!c]]],u[V!V,b[V!e[V!x]]]]]]]]]	0.272727
R	301991	7	[F!,o[-[V!log[M!()1x1,w[N!2]]]],u[V!log[M!()1x1,w[F!,o[N!1[-[V!γ]]],u[N!2]]]]]	0.272727
R	312451	4	[V!n[=[N!12[V!log[M!()1x1[+[N!49]],w[F!,o[V!f],u[N!440[T!Hz]]]],b[N!2]]]]]	0.272727
R	313257	3	[V!T[T!goal[=[V!b[V!log[M!()1x1,w[F![+[N!1]],o[V!A],u[V!W]]],b[N!2]]]]]]	0.272727
R	315496	0	[V!p[=[N!69[+[N!12[×[V!log[M!()1x1,w[F!,o[V!f],u[N!440]]],b[N!2]]]]]]]]	0.272727
R	303466	14	[V!log[M!()1x1,w[V!n[!]]],b[N!2]]	0.266667
R	310337	6	[⌊[V!log[M!()1x1[⌋],w[V!n]]]]	0.266667
R	311966	1	[V!log[M!()1x1,w[N!6,a[N!5]]],b[N!2]]	0.266667
R	305496	25	[V!n[=[V!log[M!()1x1[=[F![&comma;],o[V!log[V!ϵ[-[V!log[V!ϵ]]],b[N!0]]],u[V!log[N!2]]]],w[F!,o[V!ϵ,b[N!0]],u[V!ϵ]]],b[N!2]]]]	0.266667
R	291928	18	[V!M[=[⌊[F![⌋],o[-[N!1]],u[V!log[M!()1x1,w[N!1[-[V!p]]]],b[N!2]]]]]]	0.26087
R	311052	24	[V!h[≤[⌊[V!log[M!()1x1[⌋[.]],w[F!,o[V!n[+[N!1]]],u[N!2]]],b[V!d]]]]]	0.26087
R	292186	83	[⌊[V!log[M!()1x1[⌋[=[N!31[-[nlz[M!()1x1[.],w[V!n]]]]]]],w[V!n]],b[N!2]]]	0.26087
R	310495	7	[V!I[V!D[=[V!log[M!()1x1,w[F![+[N!1]],o[V!D],u[V!W,b[V!e]]]],b[N!2]]],b[V!e]]]	0.26087
R	292835	0	[V!p[=[N!69[+[N!12[×[V!log[M!()1x1,w[F!,o[V!f],u[N!440[T!Hz]]]],b[N!2]]]]]]]]	0.26087
R	298797	0	[V!d[=[N!69[+[N!12[V!log[M!()1x1[.],w[F!,o[V!f],u[N!440[V!Hz]]]],b[N!2]]]]]]]	0.26087
R	311412	0	[V!n[=[N!1200[⋅[V!log[M!()1x1[.],w[F!,o[V!f,b[N!2]],u[V!f,b[N!1]]]],b[N!2]]]]]]	0.26087
R	291928	14	[V!b[=[V!log[M!()1x1,w[V!M]],b[N!2]]]]	0.25
R	311109	3	[⌈[V!log[M!()1x1[⌉],w[V!n]],b[N!2]]]	0.25
R	311109	20	[⌈[V!log[M!()1x1[⌉],w[V!n]],b[N!2]]]	0.25
R	301592	3	[-[V!log[V!P[M!()1x1,w[V!x]]],b[N!2]]]	0.25
R	298972	30	[N!3[+[V!log[M!()1x1,w[V!n]],b[N!2]]]]	0.25
R	311744	31	[V!log[M!()1x1[+[N!1]],w[V!N]],b[N!2]]	0.25
R	313774	6	[V!N[=[⌊[V!u[⌋],a[N!2]]]]]	0.25
R	295126	0	[V!log[M!()1x1,w[V!N[/[V!M]]]],b[N!2]]	0.25
R	301991	55	[V!log[M!()1x1[=[N!2]],w[N!4]],b[N!2]]	0.25
R	301991	104	[V!log[M!()1x1[=[N!2]],w[N!4]],b[N!2]]	0.25
R	301991	107	[V!log[M!()1x1[=[N!2]],w[N!4]],b[N!2]]	0.25
R	301991	108	[V!log[M!()1x1[=[N!2]],w[N!4]],b[N!2]]	0.25
R	301991	111	[V!log[M!()1x1[=[N!2]],w[N!4]],b[N!2]]	0.25
R	301991	129	[V!log[M!()1x1[=[N!3]],w[N!8]],b[N!2]]	0.25
R	301991	130	[V!log[M!()1x1[=[N!3]],w[N!8]],b[N!2]]	0.25
R	301991	131	[V!log[M!()1x1[=[N!3]],w[N!8]],b[N!2]]	0.25
R	301991	132	[V!log[M!()1x1[=[N!3]],w[N!8]],b[N!2]]	0.25
R	301991	47	[N!2[-[V!log[M!()1x1,w[V!a]],b[V!b]]]]	0.25
R	301991	124	[N!1[+[V!log[M!()1x1,w[N!3]],b[N!2]]]]	0.25
R	301991	125	[N!1[+[V!log[M!()1x1,w[N!3]],b[N!2]]]]	0.25
R	301991	126	[N!1[+[V!log[M!()1x1,w[N!3]],b[N!2]]]]	0.25
R	305523	36	[V!log[M!()1x1[/[N!2]],w[V!n]],b[N!2]]	0.25
R	304748	2	[⌈[V!log[M!()1x1[⌉],w[V!b]],b[N!2]]]	0.25
R	304748	0	[⌈[V!log[M!()1x1[⌉],w[V!r]],b[N!2]]]	0.25
R	302992	26	[V!log[M!()1x1,w[F!,o[V!X,b[V!n]],u[V!n]]]]	0.25
R	305655	4	[T!Processing Speed[⋅[V!log[M!()1x1,w[V!n]],b[N!2]]]]	0.25
R	313014	87	[M!()1x1,a[V!θ],w[-[V!log[M!()1x1,w[V!t]]]]]	0.25
R	298605	6	[V!H[=[-[V!log[V!w],b[N!2]]]]]	0.25
R	300558	55	[V!log[M!()1x1,w[N!1[/[V!ϵ]]]],b[N!2]]	0.25
R	304149	24	[V!log[M!()1x1,w[N!26,a[V!n,a[N!2]]]],b[N!2]]	0.25
R	297138	9	[V!N[V!log[M!()1x1,w[V!R[V!M]]],b[N!2]]]	0.25
R	299375	5	[-[V!log[M!()1x1,w[V!b[-[V!x]]]]]]	0.25
R	310001	12	[V!k[≤[V!log[M!()1x1,w[V!N]],b[N!2]]]]	0.25
R	310013	3	[N!10[V!log[M!()1x1,w[F!,o[N!0.02],u[N!0.98]]]]]	0.25
R	314511	3	[V!X[M!()1x1[=[V!log[M!()1x1[=[-[V!log[M!()1x1,w[V!p[M!()1x1,w[V!A,b[V!n]]]]],b[N!2]]]],w[F!,o[N!1],u[V!p[M!()1x1,w[V!A,b[V!n]]]]]],b[N!2]]],w[V!A,b[V!n]]]]	0.242424
R	293259	9	[length[M!()1x1[=[-[V!log[M!()1x1,w[V!P[M!()1x1,w[V!H[V!and[V!E]]]]]],b[N!2]]]],w[V!H[V!and[V!E]]]]]	0.24
R	311072	19	[N!2[V!log[M!()1x1,w[V!n[+[N!1]]]],b[N!2]]]	0.235294
R	293639	85	[V!N[=[⌊[F![⌋],o[N!1],u[V!ϵ]]]]]	0.235294
R	311622	28	[V!c[V!log[M!()1x1,w[V!x[+[V!d]]]],b[N!2]]]	0.235294
R	301991	40	[V!log[M!()1x1,w[F!,o[N!10],u[N!3]]],b[R!,w[N!5]]]	0.235294
R	305345	107	[-[V!log[M!()1x1,w[N!1[-[V!e,a[V!x]]]]]]]	0.235294
